course_id,keyword,rank,page_number,url,title,description,content,duration,skill_level,release_date,views,category,sub_category,author,author_profile
699337,python,1,1,https://www.lynda.com/Python-tutorials/Advanced-Python/699337-2.html,Advanced Python,Develop advanced Python scripting skills. Learn to leverage next-level Python features such as object-oriented special class methods.,"Develop your Python programming skills. Python is a great choice for building all kinds of applications, but to fully take advantage of its power and flexibility, you need to master all its advanced functionality. In this course, you can learn how to leverage next-level Python features such as object-oriented special class methods, use logging to track performance and user activity, see how to port code from Python 2 to 3, and make your code more efficient and easier to read and maintain. Instructor Joe Marini also shows how to manipulate data, build custom classes and functions, create lists, and write more elegant, optimized code. Topics include: Truth value testing Template strings Iterators Transforms Advanced Python functions Advanced collections Advanced classes and objects Logging Python comprehensions: list, dictionary, and set",2h 27m,Advanced,8/15/2018,"49,406",Developer,Programming Languages,Joe Marini,https://www.lynda.com/Joe-Marini/85-1.html
661773,python,2,1,https://www.lynda.com/Python-tutorials/Learning-Python/661773-2.html,Learning Python,"Get started with Python, the popular and highly readable object-oriented language.","Python—the popular and highly readable object-oriented language—is both powerful and relatively easy to learn. Whether you're new to programming or an experienced developer, this course can help you get started with Python. Joe Marini provides an overview of the installation process, basic Python syntax, and an example of how to construct and run a simple Python program. Learn to work with dates and times, read and write files, and retrieve and parse HTML, JSON, and XML data from the web. Topics include: Installing Python Choosing an editor or IDE Working with variables and expressions Writing loops Using the date, time, and datetime classes Reading and writing files Fetching internet data Parsing and processing HTML",2h 11m,Beginner,1/30/2018,"881,112",Developer,Programming Languages,Joe Marini,https://www.lynda.com/Joe-Marini/85-1.html
772337,python,3,1,https://www.lynda.com/Python-tutorials/Python-Theory-Network-Engineers/772337-2.html,Python Theory for Network Engineers,Python is a critical skill for network engineers. Learn the very basics of network programming with Python—the theoretical building blocks that will lead to better scripts.,"Python allows you to build scripts to automate complex network configuration. It is the most widely used programming language for software-defined networking, and is a critical skill for new network engineers. This course teaches the very basics of network programming with Python—the theoretical building blocks that will lead to better scripts. Learn the fundamentals of the language, including objects and variables, strings, loops, and functions. Discover how to use lists, tuples, and dictionaries, and integrate specialized Python libraries and modules such as Netmiko and telnetlib. Skip ahead to concentrate on the topics of relevance to you, or watch the entire course from beginning to end to build your core skills. Instructor David Bombal doesn't make you wait before you can start automating networks. Along the way, he shows how to quickly and easily build basic functional scripts to configure routers and switches using GNS3, Cisco IOS, and Python, so that you can put your new skills to immediate use. Topics include: Exploring the features and menus Using snippets Debugging Options and preferences Version control",5h,Beginner,10/8/2018,"7,635",IT,Network Administration,David Bombal,https://www.lynda.com/David-Bombal/4825099-1.html
769298,python,4,1,https://www.lynda.com/Python-tutorials/Python-NAPALM-Network-Automation/769298-2.html,Python NAPALM Network Automation,"Learn how to automate the configuration of network devices with NAPALM, a Python library used to automate and interact with network devices and OSs using a unified API.","Network Automation and Programmability Abstraction Layer with Multivendor support (NAPALM) is a Python library that you can use to automate and interact with network devices and OSs using a unified API. As this library provides an abstraction layer, it makes it easier to configure multiple vendor devices. In this course, learn how to automate the configuration of network devices using NAPALM. Instructor David Bombal provides an overview of NAPALM, explaining how to use it for switch and BGP automation, as well as how to perform a device configuration audit. Topics include: Connecting to a switch using NAPALM Using JSON with NAPALM Using NAPALM to retrieve BGP neighbors Connecting to multiple BGP routers Automating large BGP networks Configuring ACLs using NAPALM Auditing your device configurations",58m 38s,Beginner,10/1/2018,"1,337",IT,Network Administration,David Bombal,https://www.lynda.com/David-Bombal/4825099-1.html
711826,python,5,1,https://www.lynda.com/Python-tutorials/Python-Statistics-Essential-Training/711826-2.html,Python Statistics Essential Training,Extend your basic knowledge of statistics by building analytics skills using Python and powerful third-party libraries.,"With this course, gain insight into key statistical concepts and build practical analytics skills using Python and powerful third-party libraries. Instructor Michele Vallisneri covers several major skills: cleaning, visualizing, and describing data, statistical inference, and statistical modeling. All concepts are introduced by analyzing intriguing real-world datasets and discussed from a machine-learning perspective—which assumes that powerful computation can replace complex mathematics. Topics include: Installing and setting up Python Importing and cleaning data Visualizing data Describing distributions and categorical variables Using basic statistical inference and modeling techniques Bayesian inference",2h 58m,Intermediate,7/17/2018,"36,662",IT,Big Data,Michele Vallisneri,https://www.lynda.com/Michele-Vallisneri/4666188-1.html
604246,python,6,1,https://www.lynda.com/Developer-tutorials/Python-Projects/604246-2.html,Python Projects,"Strengthen your understanding of Python—the popular object-oriented language—by tackling a series of hands-on projects. Learn how to translate classic design patterns into Python, create a Python Windows service, and more.","Strengthen your understanding of Python—the popular object-oriented language—by tackling a series of hands-on projects. In this course, Burkhard Meier explains how to work with Python 3.5 to create four distinct projects. To begin, Burkhard shows how to install the Eclipse IDE development environment with the PyDev plugin, as well as how to set breakpoints and use different debugging tools within Eclipse. He also shows how to translate classic design patterns into Python 3.5, create a GUI weather application with Tkinter, and write a Python Windows service that uses a scheduling mechanism to send out emails at set times. Note: This course was created by Packt Publishing. We are pleased to host this training in our library. Topics include: Running Python programs within Eclipse Setting breakpoints Using the PyDev debugger Using design patterns Creating a GUI application with Tkinter Writing a Windows scheduling service",2h 10m,Intermediate,6/23/2017,"79,987",Developer,Programming Languages,Burkhard Meier,https://www.lynda.com/Burkhard-Meier/10561545-1.html
711812,python,7,1,https://www.lynda.com/Python-tutorials/Python-C-Developer/711812-2.html,Python for the C# Developer,"Get up and running with Python. Explore the similarities and differences between Python and C# as you review key concepts such as functions, conditional statements, and how to work with classes.","Python is hugely popular, boasts an elegant syntax, and has played a notable role in the rise of the open-source community. While this highly readable language can add value to any developer's toolkit, it can be of particular help to C# developers who want to better grasp how .NET is shifting to embrace the open-source community. In this course, Reynald Adolphe helps to acquaint C# developers with Python by helping them leverage what they already know. Throughout the course, Reynald highlights the similarities and differences between Python and C# as he goes over key concepts such as functions, conditional statements, and how to create and work with classes. He also demonstrates the four pillars of object-oriented programming—abstraction, polymorphism, inheritance, and encapsulation—as he walks through the creation of a salary calculator. Topics include: Setting up your environment Comments, variables, and functions Conditional statements Loops, nested loops, and break and continue While loops Defining classes Object-oriented programming concepts",1h 55m,Beginner,8/3/2018,"14,882",Developer,Programming Languages,Reynald Adolphe,https://www.lynda.com/Reynald-Adolphe/4738654-1.html
693094,python,8,1,https://www.lynda.com/Python-tutorials/Python-Basics-Java-Developers/693094-2.html,Python Basics for Java Developers,Get started with Python. Learn the basics of this highly readable language and explore the differences between Python and Java.,"Python is powerful, popular, and allows you to get your programs up and running in relatively few steps. If you're a Java developer interested in learning this highly readable language, then this course is for you. Join Deepa Muralidhar as she helps to acquaint you with the basics of Python. Deepa begins by going over Python syntax and highlighting the essential differences between Python and Java. She then dives into basic concepts—including selection statements and arrays—and discusses functions, methods, and object-oriented programming in Python.",42m 53s,Beginner,7/23/2018,"25,124",Developer,Programming Languages,Deepa Muralidhar,https://www.lynda.com/Deepa-Muralidhar/12611487-1.html
711810,python,9,1,https://www.lynda.com/Python-tutorials/Code-Clinic-Python/711810-2.html,Code Clinic: Python,"Practice coding with Python. Explore common Python programming challenges, and then compare the results with other programming languages in the <em>Code Clinic</em> series.","Successful programmers know more than just how to code. They also know how to think about solving problems. Code Clinic is a series of courses where our instructors solve the same problems using different programming languages. Here, Barron Stone works with Python. Barron introduces challenges and provides an overview of his solutions in Python. Challenges include topics such as statistical analysis and accessing peripheral devices. Visit other courses in the series to see how to solve the same challenges in languages like C++, C#, JavaScript, PHP, Python, Ruby, Go, and Swift.",1h 51m,Intermediate,6/8/2018,"28,600",Developer,Programming Languages,Barron Stone,https://www.lynda.com/Barron-Stone/2899019-1.html
651196,python,10,1,https://www.lynda.com/Python-tutorials/Python-Automation-Testing/651196-2.html,Python Automation and Testing,Learn how to automate your web UI testing with Python and Selenium.,"Do you spend too much time manually testing your user interfaces? Automation is the answer. Python and Selenium offer a simple but powerful framework to script any testing. Here, instructor Bhoomika Agarwal shows how to use the combination of Selenium WebDriver and Python code to automate web UI tests. Follow along and learn how to locate elements, navigate pages, test user interactions with forms and drag-and-drop elements, and use waits to control test timing and execution. The lessons are practical and can be immediately applied to your development workflow. Take the challenges included along the way to practice your new skills. Topics include: What is automated testing? Python-Selenium bindings Parsing the DOM structure Locating elements in the DOM Navigating and interacting with pages Explicit and implicit waits",1h 16m,Intermediate,6/1/2018,"36,446",Developer,Programming Languages,Bhoomika Agarwal,https://www.lynda.com/Bhoomika-Agarwal/10416306-1.html
